epoch,acc,loss,top_k_categorical_accuracy,val_acc,val_loss,val_top_k_categorical_accuracy
1,0.69132,1.365899664,0.94122,0.638020833,1.579983223,0.919571314
2,0.69707,1.327327662,0.94359,0.647070626,1.551917065,0.922451846
3,0.70205,1.295830385,0.94503,0.644462279,1.544662788,0.922552167
4,0.709,1.25990789,0.94761,0.645164526,1.532864072,0.922652488
5,0.71309,1.22840274,0.94999,0.647572231,1.519411912,0.921147673
6,0.71901,1.194475964,0.95233,0.648274478,1.504656899,0.922351525
7,0.72391,1.165104194,0.95461,0.64747191,1.495649067,0.922552167
8,0.7291,1.134443069,0.95583,0.642154896,1.507114601,0.920445425
9,0.73501,1.106218206,0.95809,0.642656501,1.485667974,0.922251204
10,0.73961,1.080943986,0.95959,0.6464687,1.483519487,0.92094703
